# Mach, alpha, config, Label
0.50,   0.00,  poweroff,
0.50,   1.00,  poweroff,
0.50,   2.00,  poweroff,
0.50,   5.00,  poweroff,
0.50,  10.00,  poweroff,
0.80,   0.00,  poweroff,
0.80,   1.00,  poweroff,
0.80,   2.00,  poweroff,
0.80,   5.00,  poweroff,
0.80,  10.00,  poweroff,
0.95,   0.00,  poweroff,
0.95,   1.00,  poweroff,
0.95,   2.00,  poweroff,
0.95,   5.00,  poweroff,
0.95,  10.00,  poweroff,
1.10,   0.00,  poweroff,
1.10,   1.00,  poweroff,
1.10,   2.00,  poweroff,
1.10,   5.00,  poweroff,
1.10,  10.00,  poweroff,
1.40,   0.00,  poweroff,
1.40,   1.00,  poweroff,
1.40,   2.00,  poweroff,
1.40,   5.00,  poweroff,
1.40,  10.00,  poweroff,
2.20,   0.00,  poweroff,
2.20,   1.00,  poweroff,
2.20,   2.00,  poweroff,
2.20,   5.00,  poweroff,
2.20,  10.00,  poweroff,
