# mach, alpha, beta, q, T, config, Label
  0.80,  0.0,  0.0,  1250.0, 475.33, config,
  0.80,  4.0,  0.0,  1250.0, 475.33, config,
  0.80, 10.0,  0.0,  1250.0, 475.33, config,
  0.80, 30.0,  0.0,  1250.0, 475.33, config,
  0.95,  0.0,  0.0,  1250.0, 475.33, config,
  0.95,  4.0,  0.0,  1250.0, 475.33, config,
  0.95, 10.0,  0.0,  1250.0, 475.33, config,
  0.95, 30.0,  0.0,  1250.0, 475.33, config,
  1.10,  0.0,  0.0,  1250.0, 475.33, config,
  1.10,  4.0,  0.0,  1250.0, 475.33, config,
  1.10, 10.0,  0.0,  1250.0, 475.33, config,
  1.10, 30.0,  0.0,  1250.0, 475.33, config,
  1.25,  0.0,  0.0,  1250.0, 475.33, config,
  1.25,  4.0,  0.0,  1250.0, 475.33, config,
  1.25, 10.0,  0.0,  1250.0, 475.33, config,
  1.25, 30.0,  0.0,  1250.0, 475.33, config,
  1.50,  0.0,  0.0,  1250.0, 475.33, config,
  1.50,  4.0,  0.0,  1250.0, 475.33, config,
  1.50, 10.0,  0.0,  1250.0, 475.33, config,
  1.50, 30.0,  0.0,  1250.0, 475.33, config,
  1.75,  0.0,  0.0,  1250.0, 475.33, config,
  1.75,  4.0,  0.0,  1250.0, 475.33, config,
  1.75, 10.0,  0.0,  1250.0, 475.33, config,
  1.75, 30.0,  0.0,  1250.0, 475.33, config,
